CEL_File,GES_Project,GES_Batch,Sex,Use_for_analysis,Sample_Name,Old_Name,MGI_ID,JAX_ID,KStest_D,Autosomal_A_Freq,Autosomal_B_Freq,Autosomal_H_Freq,Autosomal_V_Freq,Autosomal_N_Freq,G2F1_Study,VINO_Paper_Set,HDMI_paper,wild_mice,G2_F1,AXB_BXA,BXD,LXS,A_J_consomics,MSM_consomics,PWD_consomic,Classical,Outbred,F1,Replicated,Wild_derived,NotMusMusculus,NotMusMusculus_1
SNP_mDIV_B3-SNP11_057_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 1<PWD/Ph>/ForeJ,C57BL/6J-Chr1/ForeJ,MGI:3497736,5259,0.01,91%,4%,4%,0.2%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_B4-SNP11_058_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 3<PWD/Ph>/ForeJ,C57BL/6J-Chr3/ForeJ,MGI:3607612,5518,0.02,93%,3%,4%,0.2%,0.1%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_B5-SNP11_059_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 4<PWD/Ph>/ForeJ,C57BL/6J-Chr4/ForeJ,MGI:3655485,6226,0.02,93%,3%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_B6-SNP11_060_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 5<PWD/Ph>/ForeJ,C57BL/6J-Chr5/ForeJ,MGI:3497735,5260,0.02,93%,3%,4%,0.2%,0.1%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_B7-SNP11_061_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 6<PWD/Ph>/ForeJ,C57BL/6J-Chr6/ForeJ,MGI:3497734,5261,0.01,93%,3%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_B8-SNP11_062_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 7<PWD/Ph>/ForeJ,C57BL/6J-Chr7/ForeJ,MGI:3655487,5996,0.02,93%,3%,4%,0.1%,0.1%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_B9-SNP11_063_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 8<PWD/Ph>/ForeJ,C57BL/6J-Chr8/ForeJ,MGI:3698291,6597,0.02,93%,2%,4%,0.1%,0.1%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_B10-SNP11_064_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 10.1<PWD/Ph>/ForeJ,C57BL/6J-Chr10.1/ForeJ,MGI:3767674,7600,0.01,95%,1%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_B11-SNP11_065_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 10.2<PWD/Ph>/ForeJ,C57BL/6J-Chr10.2/ForeJ,MGI:3838966,7601,0.01,95%,1%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_C1-SNP11_066_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 11.3<PWD/Ph>/ForeJ,C57BL/6J-Chr11.3/ForeJ,#N/A,6372,0.02,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_C2-SNP11_067_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 13<PWD/Ph>/ForeJ,C57BL/6J-Chr13/ForeJ,MGI:3607613,#N/A,0.01,93%,3%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_C3-SNP11_068_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 16<PWD/Ph>/ForeJ,C57BL/6J-Chr16/ForeJ,MGI:3497729,5266,0.01,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
